birth,death,href,name,age,countries,country
1816.0,1900.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Frenet.html,Frenet,84.0,"['FR', 'US', 'NL', 'IT', 'BE']",France
1816.0,1887.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Rosenhain.html,Rosenhain,71.0,"['US', 'DE', 'FR', 'RU', 'AT', 'NL', 'CZ']",United States
1816.0,1893.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Wolf.html,Wolf,77.0,"['CH', 'US', 'DE', 'NL', 'AT', 'TR']",Switzerland
1817.0,1880.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Borchardt.html,Borchardt,63.0,"['DE', 'US', 'IT', 'FR', 'NL']",Germany
1817.0,1882.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Briot.html,Briot,65.0,"['FR', 'US', 'CH', 'NL', 'GB', 'SN', 'TR', 'DE']",France
1817.0,1891.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Ferrel.html,Ferrel,74.0,"['US', 'GB', 'NL', 'FR']",United States
1817.0,1889.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Genocchi.html,Genocchi,72.0,"['IT', 'AT', 'NL', 'GB', 'US']",Italy
1818.0,1889.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Broch.html,Broch,71.0,"['NO', 'FR', 'US', 'SE', 'DE', 'DK', 'ES', 'NL', 'GB', 'UK']",Norway
1818.0,1893.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Hendricks.html,Hendricks,75.0,"['US', 'GB', 'NL', 'BR', 'SK', 'ZA', 'IE', 'TM', 'IN']",United States
1818.0,1861.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Joachimsthal.html,Joachimsthal,43.0,"['DE', 'US', 'PL', 'BE', 'GB', 'FR', 'SK', 'NL', 'TR']",Germany
1819.0,1892.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Adams.html,Adams,73.0,"['US', 'GB', 'AU', 'IE', 'CA', 'FR', 'GR', 'NL', 'LK', 'IT', 'UK', 'RU', 'RO']",United States
1819.0,1884.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Aronhold.html,Aronhold,65.0,"['DE', 'US', 'PL', 'AT', 'NL', 'GB']",Germany
1819.0,1892.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Bonnet.html,Bonnet,73.0,"['FR', 'NL', 'US']",France
1819.0,1885.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Bouquet.html,Bouquet,66.0,"['FR', 'NL', 'US']",France
1819.0,1895.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Cockle.html,Cockle,76.0,"['GB', 'US', 'AU', 'CU', 'NL', 'NO', 'CZ', 'DE']",United Kingdom
1819.0,1896.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Fizeau.html,Fizeau,77.0,"['FR', 'US', 'NL', 'GB']",France
1819.0,1868.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Foucault.html,Foucault,49.0,"['FR', 'GB', 'IT', 'ES', 'NL', 'TR', 'US', 'DE']",France
1819.0,1904.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Salmon.html,Salmon,85.0,"['IE', 'GB', 'ZA', 'CA', 'US', 'BR', 'DE', 'FR', 'NL', 'DK', 'IT', 'NO']",Ireland
1819.0,1885.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Serret.html,Serret,66.0,"['FR', 'DE', 'GB', 'NL', 'US', 'ES']",France
1819.0,1903.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Stokes.html,Stokes,84.0,"['US', 'GB', 'IE', 'ZA', 'NL', 'TM', 'CA', 'RU', 'FR']",United States
1820.0,1891.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Casey.html,Casey,71.0,"['IE', 'US', 'CA', 'FR', 'BE', 'NL']",Ireland
1820.0,1870.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Chauvenet.html,Chauvenet,50.0,"['US', 'GB', 'GR', 'NL']",United States
1820.0,1901.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Jonquieres.html,Jonquieres,81.0,"['FR', 'IT', 'US', 'NL', 'BY', 'GB', 'VN']",France
1820.0,1910.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Nightingale.html,Nightingale,90.0,"['GB', 'US', 'IT', 'EG', 'FR', 'TR', 'CA', 'DE', 'RU', 'IN', 'NL', 'GR', 'BE']",United Kingdom
1820.0,1883.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Puiseux.html,Puiseux,63.0,"['FR', 'US', 'GB', 'CH', 'NL', 'SN']",France
1820.0,1872.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Rankine.html,Rankine,52.0,"['GB', 'US', 'IE', 'CF', 'NL', 'CZ', 'SE']",United Kingdom
1820.0,1884.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Todhunter.html,Todhunter,64.0,"['US', 'GB', 'NL', 'GR', 'FR', 'DE', 'ES', 'IT', 'RU', 'IN']",United States
1821.0,1895.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Cayley.html,Cayley,74.0,"['GB', 'US', 'CA', 'UK', 'FR', 'RU', 'IT', 'DE', 'HU', 'NL', 'IE', 'TR', 'TM', 'GR']",United Kingdom
1821.0,1894.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Chebyshev.html,Chebyshev,73.0,"['RU', 'FR', 'US', 'ES', 'BR', 'DE', 'EE', 'GB', 'NL', 'TR', 'UK', 'SE']",Russian Federation
1821.0,1897.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Haughton.html,Haughton,76.0,"['IE', 'GB', 'US', 'AU', 'CA', 'NL', 'AR', 'IT', 'GR', 'IN']",Ireland
1821.0,1881.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Heine.html,Heine,60.0,"['DE', 'BE', 'US', 'GB', 'SK', 'NL', 'UY']",Germany
1821.0,1894.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Helmholtz.html,Helmholtz,73.0,"['DE', 'US', 'CF', 'RU', 'GB', 'NL', 'KG', 'IT', 'HU']",Germany
1821.0,1880.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Ramchundra.html,Ramchundra,59.0,"['IN', 'US', 'UK', 'GB', 'NL', 'TR']",India
